file	map	dur	bots	human	stalls	stall_pm	stall_max_bot	freezes	fz_max	fz_fire	routefail	rf_pm	trapped	abandon	unstick	engage	eng_pm	pursue	retreat	grab	goal	weapon	hazard	haz_pm	bot_deaths	bot_world	bot_lava_z	bot_lava_obit	bot_kills_human	human_kills_bot	human_deaths	human_world	bot_kills_bot	human_frg	bot_frg	frag_spread	cells	cells_pm	avg_spd	mode2	doors	lifts	boards	trains	jumps	rjump	swim	hunch	prefire	watch	shove
shane_dm4_2026-08-28_v393b.log	dm4	253	3	player	8	1.9	3	0	0	0	16	3.8	1	11	0	128	30.3	259	41	81	210	64	395	93.6	57	10	9	9	5	17	7	2	29	player=15	Joe Rogan=7;Romero=7;Carmack=9	2	551	130.6	244	77	0	0	0	0	28	5	119	56	0	21	17
shane_dm4_2026-08-29_v405.log	dm4	302	3	player	7	1.4	4	0	0	0	17	3.4	0	5	0	137	27.2	298	35	94	228	57	469	93.2	59	8	7	7	10	18	11	1	32	player=18	Joe Rogan=14;Romero=10;Carmack=9	5	592	117.7	259	77	0	0	0	0	37	0	139	62	2	28	0
shane_e1m2_2026-09-05_v251.log	e1m2	157	1	player	5	1.9	5	5	7.1	0	0	0.0	0	5	0	2	0.8	15	1	3	4	0	28	10.7	0	0	0	0	1	0	1	0	0	player=0	Carmack=1	0	132	50.5	150	92	11	0	0	0	14	0	325	4	0	0	0
shane_e1m2_2026-09-05_v253.log	e1m2	20	1	player	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	2	0	0	1	0	3	8.9	0	0	0	0	1	0	1	0	0	player=0	Carmack=1	0	21	62.4	176	59	0	0	0	0	1	0	33	1	0	0	0
shane_e1m2_2026-09-05_v260.log	e1m2	102	1	player	14	8.2	14	0	0	0	0	0.0	0	5	0	4	2.3	9	0	7	3	0	57	33.4	1	0	0	0	0	1	0	0	0	player=1	Carmack=0	0	95	55.7	178	92	0	0	0	0	17	0	61	1	0	0	0
shane_e1m3_2026-09-05_v409.log	e1m2	10	1	player	40	240.0	40	0	0	0	0	0.0	0	2	0	2	12.0	8	0	9	3	0	72	432.0	0	0	0	0	0	0	0	0	0	player=0	Carmack=0	0	124	744.0	140	88	1	1	1	0	48	0	62	1	0	0	0
shane_dm2_2026-09-13.log	dm2	414	3	player	224	32.5	175	1	9.6	1	0	0.0	0	21	3	87	12.6	184	16	62	250	32	631	91.4	38	1	0	0	10	17	10	0	13	player=23	Joe Rogan=9;Romero=6;Carmack=6	3	763	110.6	202	82	23	4	4	2	350	0	0	50	7	13	0
shane_e1m2_2026-09-13_v410.log	e1m2	131	3	player	25	11.5	13	0	0	0	0	0.0	0	8	0	20	9.2	29	5	9	44	16	118	54.2	10	0	0	0	0	3	0	0	5	player=3	Joe Rogan=3;Romero=0;Carmack=2	3	444	203.8	228	86	13	0	0	0	18	0	318	5	0	5	0
shane_dm2_2026-09-14.log	dm2	279	3	player	102	21.9	54	4	19.7	1	31	6.7	0	12	2	61	13.1	155	21	53	181	21	356	76.6	28	1	0	1	4	15	7	3	11	player=13	Joe Rogan=4;Romero=5;Carmack=5	1	575	123.7	197	78	14	2	2	4	142	0	12	34	0	9	0
shane_dm4_2026-09-16.log	dm4	273	3	player	11	2.4	5	0	0	0	4	0.9	0	2	1	120	26.3	240	26	79	182	43	386	84.7	53	7	6	6	6	18	9	3	25	player=16	Joe Rogan=7;Romero=5;Carmack=10	5	649	142.5	247	80	0	0	0	0	37	2	93	49	2	23	1
shane_dm4_2026-09-16b.log	dm4	226	3	player	27	7.2	14	3	7.1	2	0	0.0	0	3	3	93	24.7	188	30	56	150	43	367	97.4	36	4	2	2	6	13	6	0	20	player=13	Joe Rogan=10;Romero=4;Carmack=9	6	501	133.0	216	76	0	0	0	0	69	1	19	43	2	16	0
